shotnum,Delta
50060001,5.084924
50060002,3.573774
50060003,3.630268
50060004,4.774792
50060005,4.280443
50060006,3.677609
50060007,4.80749
50060008,5.86696
50060009,0.898643
50060010,4.610711
50060011,3.695947
50060012,3.944776
50060013,6.201962
50060014,2.940802
50060015,4.367916
50060016,3.220689
50060017,3.846719
50060018,1.781329
50060019,3.685331
50060020,5.193768
50070001,4.583149
50070002,5.87432
50070003,5.848807
50070004,4.737319
50070005,5.341551
50070006,5.724362
50070007,6.513156
50070008,5.072253
50070009,5.480107
50070010,5.323413
50070011,4.755578
50070012,4.245753
50070013,4.103374
50070014,5.323277
50070015,4.251116
50070016,4.359683
50070017,4.672061
50070018,5.836338
50070019,5.601153
50070020,4.097257
50080001,5.642834
50080002,5.1171
50080003,6.011308
50080004,6.258494
50080005,5.709113
50080006,5.522216
50080007,7.611875
50080008,3.587478
50080009,7.734793
50080010,5.01931
